구분,항목,지역수,대상지역,비고
정책검토등급,우선 개선 검토,5,"남구 효덕동, 동구 지원1동, 북구 운암1동, 서구 풍암동, 광산구 신가동",
정책검토등급,관심 검토,5,"남구 진월동, 서구 금호1동, 남구 봉선2동, 동구 학동, 남구 송암동",
정책검토등급,일반 관찰,14,"동구 계림1동, 남구 방림1동, 북구 문흥1동, 동구 지산2동, 광산구 송정1동, 광산구 우산동, 광산구 첨단1동, 북구 첨단2동, 서구 농성1동, 서구 화정2동, 북구 용봉동, 서구 치평동, 동구 충장동, 광산구 수완동",
정책검토등급,정책순위 제외,1,북구 두암2동,
취약요인,생활 인프라,5,"남구 효덕동, 서구 풍암동, 광산구 신가동, 남구 진월동, 남구 송암동",우선 개선·관심 검토지역 기준
취약요인,청년 선호시설,5,"남구 효덕동, 동구 지원1동, 광산구 신가동, 남구 진월동, 남구 송암동",우선 개선·관심 검토지역 기준
취약요인,교통 접근성,5,"동구 지원1동, 북구 운암1동, 서구 풍암동, 광산구 신가동, 남구 진월동",우선 개선·관심 검토지역 기준
취약요인,주거 가성비,3,"북구 운암1동, 남구 봉선2동, 동구 학동",우선 개선·관심 검토지역 기준
취약요인,뚜렷한 취약요인 없음,1,서구 금호1동,상대적 하위 25% 지표 없음
취약유형,생활·청년시설 취약형,2,"남구 효덕동, 남구 송암동",우선 개선·관심 검토지역 기준
취약유형,복합 취약형,2,"광산구 신가동, 남구 진월동",우선 개선·관심 검토지역 기준
취약유형,주거 취약형,2,"남구 봉선2동, 동구 학동",우선 개선·관심 검토지역 기준
취약유형,청년시설·교통 취약형,1,동구 지원1동,우선 개선·관심 검토지역 기준
취약유형,교통·주거 취약형,1,북구 운암1동,우선 개선·관심 검토지역 기준
취약유형,생활·교통 취약형,1,서구 풍암동,우선 개선·관심 검토지역 기준
취약유형,뚜렷한 취약요인 없음,1,서구 금호1동,우선 개선·관심 검토지역 기준
주거표본,정상,21,"남구 효덕동, 동구 지원1동, 북구 운암1동, 서구 풍암동, 남구 진월동, 서구 금호1동, 남구 봉선2동, 동구 학동, 남구 송암동, 동구 계림1동, 북구 문흥1동, 동구 지산2동, 광산구 송정1동, 광산구 우산동, 광산구 첨단1동, 북구 첨단2동, 서구 농성1동, 북구 용봉동, 서구 치평동, 동구 충장동, 광산구 수완동",주거 거래 20건 이상
주거표본,저표본 주의,3,"광산구 신가동, 남구 방림1동, 서구 화정2동","주거 거래 5~19건, 정책 해석 시 주의"
주거표본,표본부족,1,북구 두암2동,"주거 거래 5건 미만, 주거점수 및 정책순위 비교 제외"
데이터주의,정책검토지역 중 저표본,1,광산구 신가동,HL-Score에는 반영되지만 주거비 해석 시 주의 필요
데이터주의,정책순위 비교 제외,1,북구 두암2동,주거 표본부족으로 동일 조건 정책순위 비교 제외
